"pay_month","user_id","game_name","total_revenue","new_paid_users","new_mrr","churned_users","churned_revenue","expansion_mrr","contraction_revenue","back_from_churt_revenue","previous_paid_month","pervious_month","language","has_older_device_model","age"
2022-12-01,"7Em69vKH6zh6HgArCzG0+w==",game 3,72.18,"7Em69vKH6zh6HgArCzG0+w==",72.18,"7Em69vKH6zh6HgArCzG0+w==",,,,,,2022-11-01,ru,false,17
2022-03-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,158.67,"7EPlnA7OQ9MhMx+od6FA9g==",158.67,,,,,,,2022-02-01,ru,false,23
2022-04-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,114.15,,,,,,-44.52,,2022-03-01,2022-03-01,ru,false,23
2022-05-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,51.18,,,,,,-62.97,,2022-04-01,2022-04-01,ru,false,23
2022-06-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,12.39,,,,12.39,,-38.79,,2022-05-01,2022-05-01,ru,false,23
2022-08-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,48.18,,,,48.18,,,48.18,2022-06-01,2022-07-01,ru,false,23
2022-11-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,14.43,,,,,,,14.43,2022-08-01,2022-10-01,ru,false,23
2022-12-01,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,41.16,,,"7EPlnA7OQ9MhMx+od6FA9g==",,26.73,,,2022-11-01,2022-11-01,ru,false,23
2022-05-01,"7ew71UmoMb73L41PM/YL/w==",game 3,32.10,"7ew71UmoMb73L41PM/YL/w==",32.10,,,,,,,2022-04-01,uk,false,17
2022-06-01,"7ew71UmoMb73L41PM/YL/w==",game 3,34.11,,,,,2.01,,,2022-05-01,2022-05-01,uk,false,17
2022-07-01,"7ew71UmoMb73L41PM/YL/w==",game 3,40.23,,,,,6.12,,,2022-06-01,2022-06-01,uk,false,17
2022-08-01,"7ew71UmoMb73L41PM/YL/w==",game 3,40.74,,,,,0.51,,,2022-07-01,2022-07-01,uk,false,17
2022-09-01,"7ew71UmoMb73L41PM/YL/w==",game 3,45.15,,,,,4.41,,,2022-08-01,2022-08-01,uk,false,17
2022-10-01,"7ew71UmoMb73L41PM/YL/w==",game 3,13.74,,,,,,-31.41,,2022-09-01,2022-09-01,uk,false,17
2022-11-01,"7ew71UmoMb73L41PM/YL/w==",game 3,29.76,,,"7ew71UmoMb73L41PM/YL/w==",,16.02,,,2022-10-01,2022-10-01,uk,false,17
2022-08-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,30.21,"7GCGwypiXsxGxetp6/KmnA==",30.21,,,,,,,2022-07-01,uk,false,31
2022-09-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,63.30,,,,63.30,33.09,,,2022-08-01,2022-08-01,uk,false,31
2022-11-01,"7GCGwypiXsxGxetp6/KmnA==",game 3,45.00,,,"7GCGwypiXsxGxetp6/KmnA==",,,,45.00,2022-09-01,2022-10-01,uk,false,31
2022-03-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,38.52,"7GE5h/3N3lcro3K9T3aujw==",38.52,,,,,,,2022-02-01,ru,false,32
2022-04-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,58.20,,,,,19.68,,,2022-03-01,2022-03-01,ru,false,32
2022-05-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,118.95,,,,,60.75,,,2022-04-01,2022-04-01,ru,false,32
2022-06-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,144.75,,,,,25.80,,,2022-05-01,2022-05-01,ru,false,32
2022-07-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,89.04,,,,,,-55.71,,2022-06-01,2022-06-01,ru,false,32
2022-08-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,104.70,,,,,15.66,,,2022-07-01,2022-07-01,ru,false,32
2022-09-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,90.87,,,,,,-13.83,,2022-08-01,2022-08-01,ru,false,32
2022-10-01,"7GE5h/3N3lcro3K9T3aujw==",game 3,77.64,,,"7GE5h/3N3lcro3K9T3aujw==",,,-13.23,,2022-09-01,2022-09-01,ru,false,32
2022-12-01,"7iS0Md8Z5SFpqNAYOVcs4w==",game 3,68.64,"7iS0Md8Z5SFpqNAYOVcs4w==",68.64,"7iS0Md8Z5SFpqNAYOVcs4w==",,,,,,2022-11-01,uk,false,18
2022-12-01,"7L4SKPGMd33lnSOq6PWyYg==",game 3,70.14,"7L4SKPGMd33lnSOq6PWyYg==",70.14,"7L4SKPGMd33lnSOq6PWyYg==",,,,,,2022-11-01,uk,false,30
2022-04-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,16.92,"7luG+f1d+Ri4AjeMbFR1Xw==",16.92,,16.92,,,,,2022-03-01,uk,false,29
2022-09-01,"7luG+f1d+Ri4AjeMbFR1Xw==",game 3,15.06,,,"7luG+f1d+Ri4AjeMbFR1Xw==",,,,15.06,2022-04-01,2022-08-01,uk,false,29
2022-10-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,25.89,"7RkS5ikrXwWByJobMXv2sA==",25.89,,,,,,,2022-09-01,ru,false,21
2022-11-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,87.75,,,,,61.86,,,2022-10-01,2022-10-01,ru,false,21
2022-12-01,"7RkS5ikrXwWByJobMXv2sA==",game 3,66.93,,,"7RkS5ikrXwWByJobMXv2sA==",,,-20.82,,2022-11-01,2022-11-01,ru,false,21
2022-03-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,34.74,"7SeM1pmnTTTXfhI+x3ldng==",34.74,,,,,,,2022-02-01,ru,false,22
2022-04-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,105.96,,,,,71.22,,,2022-03-01,2022-03-01,ru,false,22
2022-05-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,62.61,,,,62.61,,-43.35,,2022-04-01,2022-04-01,ru,false,22
2022-07-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,82.32,,,,,,,82.32,2022-05-01,2022-06-01,ru,false,22
2022-08-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,55.56,,,,,,-26.76,,2022-07-01,2022-07-01,ru,false,22
2022-09-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,22.71,,,,,,-32.85,,2022-08-01,2022-08-01,ru,false,22
2022-10-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,37.44,,,,,14.73,,,2022-09-01,2022-09-01,ru,false,22
2022-11-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,84.15,,,,,46.71,,,2022-10-01,2022-10-01,ru,false,22
2022-12-01,"7SeM1pmnTTTXfhI+x3ldng==",game 3,15.99,,,"7SeM1pmnTTTXfhI+x3ldng==",,,-68.16,,2022-11-01,2022-11-01,ru,false,22
2022-07-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,31.59,"7vnYIRqjBNlAyBbtPg02tQ==",31.59,,,,,,,2022-06-01,uk,false,21
2022-08-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,82.08,,,,,50.49,,,2022-07-01,2022-07-01,uk,false,21
2022-09-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,73.29,,,,,,-8.79,,2022-08-01,2022-08-01,uk,false,21
2022-10-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,158.16,,,,,84.87,,,2022-09-01,2022-09-01,uk,false,21
2022-11-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,23.49,,,,,,-134.67,,2022-10-01,2022-10-01,uk,false,21
2022-12-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,47.31,,,"7vnYIRqjBNlAyBbtPg02tQ==",,23.82,,,2022-11-01,2022-11-01,uk,false,21
2022-09-01,"7YaJfLI3RPGUEN2esrQxsQ==",game 3,35.28,"7YaJfLI3RPGUEN2esrQxsQ==",35.28,,35.28,,,,,2022-08-01,ru,false,15
2022-12-01,"7YaJfLI3RPGUEN2esrQxsQ==",game 3,26.67,,,"7YaJfLI3RPGUEN2esrQxsQ==",,,,26.67,2022-09-01,2022-11-01,ru,false,15
2022-07-01,"7zai/c69uF/NhB95HgKuYw==",game 3,62.25,"7zai/c69uF/NhB95HgKuYw==",62.25,,,,,,,2022-06-01,uk,false,16
2022-08-01,"7zai/c69uF/NhB95HgKuYw==",game 3,75.15,,,,,12.90,,,2022-07-01,2022-07-01,uk,false,16
2022-09-01,"7zai/c69uF/NhB95HgKuYw==",game 3,48.48,,,,,,-26.67,,2022-08-01,2022-08-01,uk,false,16
2022-10-01,"7zai/c69uF/NhB95HgKuYw==",game 3,22.77,,,,,,-25.71,,2022-09-01,2022-09-01,uk,false,16
2022-11-01,"7zai/c69uF/NhB95HgKuYw==",game 3,41.04,,,"7zai/c69uF/NhB95HgKuYw==",,18.27,,,2022-10-01,2022-10-01,uk,false,16
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,23.31,"7zbxKst2yi3pfdVI8iEChw==",23.31,,23.31,,,,,2022-03-01,ru,false,15
2022-06-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,13.05,,,,13.05,,,13.05,2022-04-01,2022-05-01,ru,false,15
2022-08-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,18.3,,,,18.3,,,18.3,2022-06-01,2022-07-01,ru,false,15
2022-12-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,13.05,,,"7zbxKst2yi3pfdVI8iEChw==",,,,13.05,2022-08-01,2022-11-01,ru,false,15
2022-07-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,86.94,"8ncYOMYXeKDelzX40EnuLA==",86.94,,,,,,,2022-06-01,uk,false,19
2022-08-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,158.76,,,,,71.82,,,2022-07-01,2022-07-01,uk,false,19
2022-09-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,35.61,,,,35.61,,-123.15,,2022-08-01,2022-08-01,uk,false,19
2022-11-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,33.57,,,,,,,33.57,2022-09-01,2022-10-01,uk,false,19
2022-12-01,"8ncYOMYXeKDelzX40EnuLA==",game 3,117.96,,,"8ncYOMYXeKDelzX40EnuLA==",,84.39,,,2022-11-01,2022-11-01,uk,false,19
2022-05-01,"8TTRdxncZg7Nl0tvfwsZng==",game 3,14.25,"8TTRdxncZg7Nl0tvfwsZng==",14.25,"8TTRdxncZg7Nl0tvfwsZng==",,,,,,2022-04-01,uk,false,30
2022-03-01,"99X4aLWWjAIgmlXjrXQIgg==",game 3,16.98,"99X4aLWWjAIgmlXjrXQIgg==",16.98,"99X4aLWWjAIgmlXjrXQIgg==",,,,,,2022-02-01,ru,false,22
2022-10-01,"9I0ppB2UxsJPIO8BpHQfEw==",game 3,16.17,"9I0ppB2UxsJPIO8BpHQfEw==",16.17,,,,,,,2022-09-01,uk,false,26
2022-11-01,"9I0ppB2UxsJPIO8BpHQfEw==",game 3,26.76,,,"9I0ppB2UxsJPIO8BpHQfEw==",,10.59,,,2022-10-01,2022-10-01,uk,false,26
2022-05-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,12.48,"9IWUQ1iWPfYSSN2tWuVqMQ==",12.48,,,,,,,2022-04-01,ru,false,24
2022-06-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,88.08,,,,,75.60,,,2022-05-01,2022-05-01,ru,false,24
2022-07-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,120.75,,,,,32.67,,,2022-06-01,2022-06-01,ru,false,24
2022-08-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,46.29,,,,,,-74.46,,2022-07-01,2022-07-01,ru,false,24
2022-09-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,15.63,,,,,,-30.66,,2022-08-01,2022-08-01,ru,false,24
2022-10-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,17.37,,,,,1.74,,,2022-09-01,2022-09-01,ru,false,24
2022-11-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,71.52,,,,,54.15,,,2022-10-01,2022-10-01,ru,false,24
2022-12-01,"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,30.12,,,"9IWUQ1iWPfYSSN2tWuVqMQ==",,,-41.40,,2022-11-01,2022-11-01,ru,false,24
2022-11-01,"9U26VpwYC1aliSUokeNK6A==",game 3,53.07,"9U26VpwYC1aliSUokeNK6A==",53.07,,,,,,,2022-10-01,uk,false,34
2022-12-01,"9U26VpwYC1aliSUokeNK6A==",game 3,14.34,,,"9U26VpwYC1aliSUokeNK6A==",,,-38.73,,2022-11-01,2022-11-01,uk,false,34
2022-03-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,45.27,A1qVjssGQ+ZUWZu3Z5DzTA==,45.27,,,,,,,2022-02-01,uk,false,24
2022-04-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,13.95,,,,13.95,,-31.32,,2022-03-01,2022-03-01,uk,false,24
2022-06-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,107.40,,,,,,,107.40,2022-04-01,2022-05-01,uk,false,24
2022-07-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,64.44,,,,,,-42.96,,2022-06-01,2022-06-01,uk,false,24
2022-08-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,15.21,,,,,,-49.23,,2022-07-01,2022-07-01,uk,false,24
2022-09-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,19.56,,,,,4.35,,,2022-08-01,2022-08-01,uk,false,24
2022-10-01,A1qVjssGQ+ZUWZu3Z5DzTA==,game 3,65.43,,,A1qVjssGQ+ZUWZu3Z5DzTA==,,45.87,,,2022-09-01,2022-09-01,uk,false,24
2022-08-01,A6QTeGOKjaGkGkRCFqNybw==,game 3,43.86,A6QTeGOKjaGkGkRCFqNybw==,43.86,A6QTeGOKjaGkGkRCFqNybw==,,,,,,2022-07-01,ru,false,33
2022-12-01,A8lK1Lccnv65sGqBkfP2iw==,game 3,16.08,A8lK1Lccnv65sGqBkfP2iw==,16.08,A8lK1Lccnv65sGqBkfP2iw==,,,,,,2022-11-01,uk,false,15
2022-08-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,51.00,ABuPH1LovAomZwU+2iw0Lw==,51.00,,,,,,,2022-07-01,uk,false,18
2022-09-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,19.56,,,,19.56,,-31.44,,2022-08-01,2022-08-01,uk,false,18
2022-11-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,105.99,,,,,,,105.99,2022-09-01,2022-10-01,uk,false,18
2022-12-01,ABuPH1LovAomZwU+2iw0Lw==,game 3,47.10,,,ABuPH1LovAomZwU+2iw0Lw==,,,-58.89,,2022-11-01,2022-11-01,uk,false,18
2022-05-01,an5Xsrpir8vvhTb50gnppQ==,game 3,15.51,an5Xsrpir8vvhTb50gnppQ==,15.51,an5Xsrpir8vvhTb50gnppQ==,,,,,,2022-04-01,uk,false,43
2022-07-01,An7gG7hfETivAjfokQv3Ww==,game 3,45.03,An7gG7hfETivAjfokQv3Ww==,45.03,,,,,,,2022-06-01,uk,false,23
2022-08-01,An7gG7hfETivAjfokQv3Ww==,game 3,90.99,,,,,45.96,,,2022-07-01,2022-07-01,uk,false,23
2022-09-01,An7gG7hfETivAjfokQv3Ww==,game 3,47.52,,,,,,-43.47,,2022-08-01,2022-08-01,uk,false,23
2022-10-01,An7gG7hfETivAjfokQv3Ww==,game 3,18.9,,,,,,-28.62,,2022-09-01,2022-09-01,uk,false,23
2022-11-01,An7gG7hfETivAjfokQv3Ww==,game 3,61.29,,,,,42.39,,,2022-10-01,2022-10-01,uk,false,23
2022-12-01,An7gG7hfETivAjfokQv3Ww==,game 3,17.61,,,An7gG7hfETivAjfokQv3Ww==,,,-43.68,,2022-11-01,2022-11-01,uk,false,23
2022-03-01,AN9at3LlvDamqXq8dvHD4w==,game 3,42.03,AN9at3LlvDamqXq8dvHD4w==,42.03,,,,,,,2022-02-01,ru,false,24
2022-04-01,AN9at3LlvDamqXq8dvHD4w==,game 3,64.50,,,,,22.47,,,2022-03-01,2022-03-01,ru,false,24
2022-05-01,AN9at3LlvDamqXq8dvHD4w==,game 3,66.57,,,,,2.07,,,2022-04-01,2022-04-01,ru,false,24
2022-06-01,AN9at3LlvDamqXq8dvHD4w==,game 3,18.99,,,,,,-47.58,,2022-05-01,2022-05-01,ru,false,24
2022-07-01,AN9at3LlvDamqXq8dvHD4w==,game 3,13.71,,,,,,-5.28,,2022-06-01,2022-06-01,ru,false,24
2022-08-01,AN9at3LlvDamqXq8dvHD4w==,game 3,43.23,,,,,29.52,,,2022-07-01,2022-07-01,ru,false,24
2022-09-01,AN9at3LlvDamqXq8dvHD4w==,game 3,63.93,,,,,20.70,,,2022-08-01,2022-08-01,ru,false,24
2022-10-01,AN9at3LlvDamqXq8dvHD4w==,game 3,13.83,,,,,,-50.10,,2022-09-01,2022-09-01,ru,false,24
2022-11-01,AN9at3LlvDamqXq8dvHD4w==,game 3,68.97,,,,,55.14,,,2022-10-01,2022-10-01,ru,false,24
2022-12-01,AN9at3LlvDamqXq8dvHD4w==,game 3,59.94,,,AN9at3LlvDamqXq8dvHD4w==,,,-9.03,,2022-11-01,2022-11-01,ru,false,24
2022-11-01,/ANyXfGUGtUS/bPw0/nW/w==,game 3,33.06,/ANyXfGUGtUS/bPw0/nW/w==,33.06,/ANyXfGUGtUS/bPw0/nW/w==,,,,,,2022-10-01,uk,false,28
2022-04-01,aQDvOXzsDAJWi3Y47ptRPg==,game 3,15.21,aQDvOXzsDAJWi3Y47ptRPg==,15.21,,,,,,,2022-03-01,ru,false,20
2022-05-01,aQDvOXzsDAJWi3Y47ptRPg==,game 3,39.30,,,,,24.09,,,2022-04-01,2022-04-01,ru,false,20
2022-06-01,aQDvOXzsDAJWi3Y47ptRPg==,game 3,19.08,,,aQDvOXzsDAJWi3Y47ptRPg==,,,-20.22,,2022-05-01,2022-05-01,ru,false,20
2022-09-01,aujnuJ9eBYK+yGF15TtUkw==,game 2,33.57,aujnuJ9eBYK+yGF15TtUkw==,33.57,,,,,,,2022-08-01,en,false,35
2022-10-01,aujnuJ9eBYK+yGF15TtUkw==,game 2,12.69,,,aujnuJ9eBYK+yGF15TtUkw==,,,-20.88,,2022-09-01,2022-09-01,en,false,35
2022-09-01,AuJNw7SH8b7lM4j46bNr8A==,game 3,18.33,AuJNw7SH8b7lM4j46bNr8A==,18.33,,,,,,,2022-08-01,en,false,28
2022-10-01,AuJNw7SH8b7lM4j46bNr8A==,game 3,25.77,,,,,7.44,,,2022-09-01,2022-09-01,en,false,28
2022-11-01,AuJNw7SH8b7lM4j46bNr8A==,game 3,122.97,,,,,97.20,,,2022-10-01,2022-10-01,en,false,28
2022-12-01,AuJNw7SH8b7lM4j46bNr8A==,game 3,32.79,,,AuJNw7SH8b7lM4j46bNr8A==,,,-90.18,,2022-11-01,2022-11-01,en,false,28
2022-10-01,+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,69.90,+Awa0l8QDZ6iKBSRiA6dRQ==,69.90,,,,,,,2022-09-01,ru,false,16
2022-11-01,+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,43.08,,,+Awa0l8QDZ6iKBSRiA6dRQ==,,,-26.82,,2022-10-01,2022-10-01,ru,false,16
2022-03-01,b3TBQFxyCxxypmPajF+jXw==,game 3,13.98,b3TBQFxyCxxypmPajF+jXw==,13.98,,,,,,,2022-02-01,uk,true,15
2022-04-01,b3TBQFxyCxxypmPajF+jXw==,game 3,14.82,,,,,0.84,,,2022-03-01,2022-03-01,uk,true,15
2022-05-01,b3TBQFxyCxxypmPajF+jXw==,game 3,28.68,,,,,13.86,,,2022-04-01,2022-04-01,uk,true,15
2022-06-01,b3TBQFxyCxxypmPajF+jXw==,game 3,71.31,,,b3TBQFxyCxxypmPajF+jXw==,,42.63,,,2022-05-01,2022-05-01,uk,true,15
2022-03-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,15.3,B4b6v6eUHvAVOeAQk6EEiw==,15.3,,,,,,,2022-02-01,ru,false,23
2022-04-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,63.60,,,,63.60,48.30,,,2022-03-01,2022-03-01,ru,false,23
2022-06-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,96.33,,,,,,,96.33,2022-04-01,2022-05-01,ru,false,23
2022-07-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,20.79,,,,,,-75.54,,2022-06-01,2022-06-01,ru,false,23
2022-08-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,64.80,,,,,44.01,,,2022-07-01,2022-07-01,ru,false,23
2022-09-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,44.67,,,,,,-20.13,,2022-08-01,2022-08-01,ru,false,23
2022-10-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,59.28,,,,59.28,14.61,,,2022-09-01,2022-09-01,ru,false,23
2022-12-01,B4b6v6eUHvAVOeAQk6EEiw==,game 3,20.64,,,B4b6v6eUHvAVOeAQk6EEiw==,,,,20.64,2022-10-01,2022-11-01,ru,false,23
2022-11-01,B4tGKx0IrkPGAUEnO6mMNA==,game 3,55.08,B4tGKx0IrkPGAUEnO6mMNA==,55.08,,,,,,,2022-10-01,uk,false,19
2022-12-01,B4tGKx0IrkPGAUEnO6mMNA==,game 3,14.37,,,B4tGKx0IrkPGAUEnO6mMNA==,,,-40.71,,2022-11-01,2022-11-01,uk,false,19
2022-05-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,94.11,b6lW5fOrJiJUE7dwhEp9VQ==,94.11,,,,,,,2022-04-01,ru,false,17
2022-06-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,41.07,,,,,,-53.04,,2022-05-01,2022-05-01,ru,false,17
2022-07-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,15.21,,,,,,-25.86,,2022-06-01,2022-06-01,ru,false,17
2022-08-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,73.38,,,,,58.17,,,2022-07-01,2022-07-01,ru,false,17
2022-09-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,18.24,,,,,,-55.14,,2022-08-01,2022-08-01,ru,false,17
2022-10-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,46.20,,,,,27.96,,,2022-09-01,2022-09-01,ru,false,17
2022-11-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,102.18,,,,,55.98,,,2022-10-01,2022-10-01,ru,false,17
2022-12-01,b6lW5fOrJiJUE7dwhEp9VQ==,game 3,42.21,,,b6lW5fOrJiJUE7dwhEp9VQ==,,,-59.97,,2022-11-01,2022-11-01,ru,false,17
2022-07-01,B7ziVc7jLVg/+snNIp3hLQ==,game 3,13.71,B7ziVc7jLVg/+snNIp3hLQ==,13.71,B7ziVc7jLVg/+snNIp3hLQ==,,,,,,2022-06-01,uk,false,19
2022-11-01,b85g/xLxpBpMH/joxym4fA==,game 3,26.94,b85g/xLxpBpMH/joxym4fA==,26.94,b85g/xLxpBpMH/joxym4fA==,,,,,,2022-10-01,uk,false,28
2022-05-01,B8zuTsAC2iJ98u2nlv/fUw==,game 3,39.96,B8zuTsAC2iJ98u2nlv/fUw==,39.96,,39.96,,,,,2022-04-01,uk,true,21
2022-10-01,B8zuTsAC2iJ98u2nlv/fUw==,game 3,56.28,,,B8zuTsAC2iJ98u2nlv/fUw==,,,,56.28,2022-05-01,2022-09-01,uk,true,21
2022-10-01,BbnuW+2kIgxo7dxg5BBIeQ==,game 3,37.08,BbnuW+2kIgxo7dxg5BBIeQ==,37.08,,,,,,,2022-09-01,ru,false,17
2022-11-01,BbnuW+2kIgxo7dxg5BBIeQ==,game 3,53.07,,,,,15.99,,,2022-10-01,2022-10-01,ru,false,17
2022-12-01,BbnuW+2kIgxo7dxg5BBIeQ==,game 3,121.41,,,BbnuW+2kIgxo7dxg5BBIeQ==,,68.34,,,2022-11-01,2022-11-01,ru,false,17
2022-08-01,bBOj8UKjraXzMIPrGBdCrQ==,game 3,27.60,bBOj8UKjraXzMIPrGBdCrQ==,27.60,,,,,,,2022-07-01,uk,false,28
2022-09-01,bBOj8UKjraXzMIPrGBdCrQ==,game 3,29.07,,,,,1.47,,,2022-08-01,2022-08-01,uk,false,28
2022-10-01,bBOj8UKjraXzMIPrGBdCrQ==,game 3,12.21,,,,,,-16.86,,2022-09-01,2022-09-01,uk,false,28
2022-11-01,bBOj8UKjraXzMIPrGBdCrQ==,game 3,15.69,,,,,3.48,,,2022-10-01,2022-10-01,uk,false,28
2022-12-01,bBOj8UKjraXzMIPrGBdCrQ==,game 3,39.48,,,bBOj8UKjraXzMIPrGBdCrQ==,,23.79,,,2022-11-01,2022-11-01,uk,false,28
2022-03-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,89.22,Bcs3CbYx2EpbL9otxlEUmg==,89.22,,89.22,,,,,2022-02-01,uk,true,18
2022-05-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,30.72,,,,,,,30.72,2022-03-01,2022-04-01,uk,true,18
2022-06-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,31.38,,,,,0.66,,,2022-05-01,2022-05-01,uk,true,18
2022-07-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,106.59,,,,,75.21,,,2022-06-01,2022-06-01,uk,true,18
2022-08-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,73.38,,,,,,-33.21,,2022-07-01,2022-07-01,uk,true,18
2022-09-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,76.02,,,,,2.64,,,2022-08-01,2022-08-01,uk,true,18
2022-10-01,Bcs3CbYx2EpbL9otxlEUmg==,game 3,96.84,,,Bcs3CbYx2EpbL9otxlEUmg==,,20.82,,,2022-09-01,2022-09-01,uk,true,18
2022-05-01,BDvlXttM/hbupcLic+5ZWg==,game 3,12.93,BDvlXttM/hbupcLic+5ZWg==,12.93,,,,,,,2022-04-01,uk,false,29
2022-06-01,BDvlXttM/hbupcLic+5ZWg==,game 3,46.53,,,,46.53,33.60,,,2022-05-01,2022-05-01,uk,false,29
2022-08-01,BDvlXttM/hbupcLic+5ZWg==,game 3,13.59,,,,,,,13.59,2022-06-01,2022-07-01,uk,false,29
2022-09-01,BDvlXttM/hbupcLic+5ZWg==,game 3,41.55,,,,,27.96,,,2022-08-01,2022-08-01,uk,false,29
2022-10-01,BDvlXttM/hbupcLic+5ZWg==,game 3,12.9,,,,,,-28.65,,2022-09-01,2022-09-01,uk,false,29
2022-11-01,BDvlXttM/hbupcLic+5ZWg==,game 3,58.98,,,,,46.08,,,2022-10-01,2022-10-01,uk,false,29
2022-12-01,BDvlXttM/hbupcLic+5ZWg==,game 3,13.5,,,BDvlXttM/hbupcLic+5ZWg==,,,-45.48,,2022-11-01,2022-11-01,uk,false,29
2022-09-01,BE42Fj9cBAbbch80IpA8Dw==,game 3,15.57,BE42Fj9cBAbbch80IpA8Dw==,15.57,,,,,,,2022-08-01,uk,false,30
2022-10-01,BE42Fj9cBAbbch80IpA8Dw==,game 3,47.22,,,,,31.65,,,2022-09-01,2022-09-01,uk,false,30
2022-11-01,BE42Fj9cBAbbch80IpA8Dw==,game 3,53.52,,,BE42Fj9cBAbbch80IpA8Dw==,,6.30,,,2022-10-01,2022-10-01,uk,false,30
2022-10-01,bF11PeUgiQ6ebhHTaDNDJA==,game 3,18.78,bF11PeUgiQ6ebhHTaDNDJA==,18.78,bF11PeUgiQ6ebhHTaDNDJA==,,,,,,2022-09-01,ru,false,33
